seq_name,duplicate_seqs
JX900729.1,JX900738.1;JX900744.1;JX900816.1;JX900817.1;JX900825.1;JX900827.1
KY408273.1,KY408279.1;KY408335.1
HM185210.1,HM185211.1
JQ703161.1,KJ446287.1
KJ185649.1,KJ185945.1
KJ154195.1,KJ154224.1
KT725887.1,KT725892.1
FJ004823.1,FJ770970.1
MG637111.1,MG637112.1
KJ445768.1,KJ445771.1;KJ445772.1;KJ445773.1
JQ324552.1,JQ324602.1;JQ324823.1;JQ324835.1;JQ324852.1;JQ324874.1
MF362817.1,MF362835.1
KM101764.1,KM252731.1
KJ185497.1,KJ185502.1
KX457497.1,KX457499.1
KU683236.1,KU683433.1;KU683453.1
DQ523629.1,DQ523633.1
KJ185831.1,KJ185833.1
KF540507.1,KF540548.1
KY409248.1,KY409498.1;KY410000.1;KY410099.1
KU683039.1,KU683114.1;KU683450.1
JX900652.1,JX900668.1;JX900682.1
KX456597.1,KX456609.1;KX456611.1
KY408267.1,KY408784.1
FJ383701.1,FJ383704.1
KX868657.1,KX868658.1
KF148285.1,KF148296.1;KF148306.1
AY495107.1,AY738996.1
KF162809.1,KF162979.1
KT213767.1,KT213827.1
JX669186.1,JX669188.1
JQ324556.1,JQ324600.1;JQ324678.1
KJ154534.1,KJ154570.1
MF695988.1,MF696007.1;MF696010.1
MF057272.1,MF057278.1
KF540567.1,KF540570.1;KF540576.1;KF540579.1;KF540597.1;KF540604.1;KF540955.1
MF381540.1,MF381566.1
EU597521.1,KJ446368.1
KX456668.1,KX456669.1
KY645528.1,KY645606.1;KY645611.1
KJ446279.1,KJ446280.1
FJ383370.1,FJ383371.1
KJ445782.1,KJ445785.1
JN037468.1,JN232198.1
KX440205.1,KX440206.1
KY409380.1,KY409499.1;KY409947.1;KY409960.1;KY409971.1;KY410035.1
KC622215.1,KC622218.1;KC622258.1;KC622259.1
KF540519.1,KF540533.1;KF540542.1
KM101998.1,KY421200.1
KY409305.1,KY409656.1;KY410055.1
KY645838.1,KY645843.1;KY645846.1;KY645868.1
KX456997.1,KX457000.1;KX457002.1
HQ700856.1,HQ700858.1;HQ700859.1;HQ700860.1;HQ700861.1;HQ700862.1;HQ700863.1;HQ700864.1;HQ700866.1;HQ700867.1;HQ700868.1;HQ700869.1
AP012371.1,AP012388.1
HQ167734.1,MG183815.1;MG597233.1;MH102415.1
KJ154475.1,KJ154477.1;KJ154504.1;KJ154576.1;KJ154637.1
KY923852.1,KY923855.1;KY923856.1;KY923857.1;KY923859.1;KY923861.1;KY923862.1
FJ383752.1,FJ383756.1
MF523054.1,MF523221.1
KC346007.1,KC346012.1
EF114288.1,EF114289.1
DQ523635.1,DQ523641.1
JQ704048.1,KC286616.1
MF498712.1,MF498719.1
KF148139.1,KF148146.1;KF148319.1
KY645888.1,KY645889.1;KY645891.1
KF148580.1,KF148582.1
KY408704.1,KY408711.1;KY408827.1
KJ154479.1,KJ154555.1;KJ154652.1
JQ705791.1,KC763430.1;MG519781.1
MF057546.1,MF057578.1;MF057579.1;MF057584.1
MG272806.1,MG272816.1;MG272820.1;MG272886.1
KX457545.1,KX457552.1
KX456798.1,KX456800.1;KX456804.1;KX456805.1;KX456811.1;KX456814.1;KX456819.1
KF540575.1,KF540587.1;KF540940.1
MF057492.1,MF057670.1;MF057748.1;MF057775.1;MF057777.1;MF057780.1;MF057925.1;MF058058.1;MF058489.1;MF058503.1;MF058551.1;MF058595.1;MF058596.1
MF057548.1,MF058036.1
KU683363.1,KU683573.1
KF540606.1,KF540609.1
JX047544.1,JX152839.1;JX152846.1;JX153933.1;KF162875.1;KF451073.1
FJ999540.1,GU122977.1;KJ446396.1
KF161488.1,KF161533.1;KF161684.1;KF161801.1
KU683409.1,KU683412.1
KY408726.1,KY408790.1
KY409020.1,KY409203.1;KY410144.1
MG670110.1,MG709055.1
JN048455.1,JN048456.1;JN048457.1;JN048458.1;JN048459.1;JN048460.1
JX152951.1,JX152952.1
JX669164.1,JX669166.1
KY409854.1,KY410140.1
KY645842.1,KY645871.1
KY409022.1,KY409041.1
EU597494.1,KF451790.1
KX457504.1,KX457511.1;KX457520.1;KX457525.1;KX457527.1
KF450994.1,KF450999.1
KP407034.1,KP407035.1;KP407036.1;KP407037.1;KP407038.1;KP407039.1;KP407040.1
KC345842.1,KC345844.1
KC554002.1,KC554005.1
DQ282395.1,DQ282396.1;DQ282397.1;DQ282399.1
KF148088.1,KF148256.1
KY408338.1,KY408811.1;KY408837.1
KT725885.1,KT725944.1
KX457506.1,KX457508.1;KX457512.1;KX457513.1;KX457522.1;KX457523.1;KX457524.1
KX358488.1,KX358498.1
KF148137.1,KF148138.1;KF148162.1;KF148324.1
KX679399.1,KX690095.1;KX702230.1;KX784496.1;KY077676.1
FJ383188.1,FJ383193.1
KY645553.1,KY645561.1
FJ168722.1,FJ168723.1
JX153487.1,KF162849.1
JQ704080.1,KC286589.1
GQ888727.1,JQ324840.1
KY782208.1,KY782237.1
MF381391.1,MF381395.1;MF381512.1
MF362829.1,MF362852.1
AY495117.1,AY738976.1
MF056005.1,MF056151.1
EU369376.1,EU597524.1;KF162620.1
KY408269.1,KY408344.1;KY408356.1;KY408407.1;KY408428.1;KY408511.1;KY408631.1;KY408646.1
KC622223.1,KC622261.1
MF381545.1,MF381561.1;MF381567.1;MF381571.1
JX900453.1,JX900467.1
EU597577.1,KJ446553.1
KC152582.1,KC152583.1
AP008264.1,AP008326.1;AP008506.1;AP008549.1;AP008697.1;AP010678.1;AP010693.1;AP010759.1
JN253395.1,JN253396.1;JN253397.1
KJ154808.1,KJ154819.1;KJ154834.1
JQ324829.1,JQ324880.1
KC994073.1,KC994080.1
KU682875.1,KU682893.1
MF362753.1,MF362814.1
MF058168.1,MF058170.1;MF058421.1
KU682956.1,KU683007.1;KU683171.1
KC911468.1,KC911599.1
KC622227.1,KC622237.1
JQ324617.1,JQ324666.1
KM986593.1,KM986600.1
KF540622.1,KF541009.1;KF541012.1;KF541019.1;KF541044.1
MG571169.1,MG571176.1
KC252381.1,KC252556.1
JQ797849.1,JQ797850.1
MF523186.1,MF523201.1
MG272937.1,MG272941.1
JX152882.1,KF162711.1
KM101907.1,KM101956.1
KY409744.1,KY409817.1;KY410014.1;KY410105.1
KY408302.1,KY408557.1;KY408680.1
JN037470.1,JN247624.1
JN032303.1,JN106403.1;KC257376.1;MG646118.1
KF148076.1,KF148091.1
KJ154872.1,KJ154874.1;KJ154889.1;KJ154890.1
KJ185518.1,KJ185762.1
EU092867.1,MF381359.1;MF381361.1
MF056936.1,MF056955.1;MF057209.1
DQ523647.1,DQ523668.1
KC733256.1,KC733258.1
MF056118.1,MF056993.1
KC994065.1,KC994079.1
KY408304.1,KY408322.1;KY408330.1;KY408334.1;KY408342.1;KY408345.1;KY408367.1;KY408382.1;KY408391.1;KY408414.1;KY408425.1;KY408449.1;KY408507.1;KY408562.1;KY408599.1;KY408728.1
FJ383723.1,FJ383725.1
KX457405.1,KX457660.1
KX456875.1,KX456926.1
KY409598.1,KY409836.1;KY409888.1
JX153148.1,JX153766.1;JX153914.1
KY409226.1,KY409438.1;KY409682.1;KY409738.1;KY409881.1;KY409929.1;KY410046.1
KJ801433.1,KJ801434.1;KJ801436.1;KJ801437.1;KJ801438.1
EF114273.1,EF114274.1;EF114275.1
KY408849.1,KY409036.1;KY409160.1;KY410065.1;KY410079.1
MF056059.1,MF056326.1;MF056919.1
JQ324601.1,KJ446288.1
JF824838.2,JF824931.2
EU092879.1,EU092880.1;EU092885.1
KT725889.1,KT725896.1;KT725932.1
KF451510.1,KF451512.1;KF451514.1;KF451517.1;KF451519.1;KF451521.1;KF451522.1
KX457188.1,KX457193.1
GU433215.1,HM245920.1
JQ324607.1,JQ324722.1;JQ324754.1
KC533467.1,KC533480.1
JX900455.1,JX900621.1
KU682918.1,KU682944.1;KU683068.1
DQ282409.1,DQ282410.1;DQ282415.1
KY408873.1,KY409786.1
AY495188.1,AY495194.1;KF161101.1
JX900488.1,JX900630.1;JX900646.1
JN315800.1,JN558762.1;KC463816.1
KX456489.1,KX457463.1;KX457469.1
JX153960.1,JX153978.1
KX440277.1,KX440278.1
KY680851.1,KY680852.1;KY680853.1
KF451537.1,KF451540.1;KF451544.1;KJ446510.1;KJ446511.1
DQ523655.1,DQ523658.1;DQ523664.1
KF451347.1,KF451348.1;KF451351.1;KF451353.1;KF451355.1;KF451364.1;KF451366.1;KF451367.1
MF696006.1,MF696019.1;MF696061.1;MF696062.1;MF696063.1;MF696065.1;MF696072.1
KJ446110.1,KJ446111.1
KC345788.1,KC345800.1;KC345909.1
AY495213.1,AY495217.1
EU869314.1,JQ702109.1
KJ445941.1,KJ445942.1
EU523125.1,EU623472.1
JQ705924.1,JQ775967.1
MF522898.1,MF523181.1
KX457180.1,KX457203.1
KU683246.1,KU683252.1;KU683253.1
MG272948.1,MG272967.1
GU733763.1,GU733779.1
JF824897.2,JF824990.2
KC994061.1,KC994081.1
JX297129.1,JX297132.1
FJ951573.1,KJ446478.1;KJ446479.1
EU770202.1,HM017858.1
EF060322.1,EF060323.1;EF556180.1
KC345963.1,KC346111.1;KC346149.1
JX153222.1,JX171106.1
KF874374.1,KF874375.1
KJ154718.1,KJ154725.1
KY409797.1,KY410142.1
FJ383184.1,FJ383186.1
KF161332.1,KF162084.1
KF148084.1,KF148187.1
KF148107.1,KF148591.1
EF184580.1,EF184581.1
EU725608.2,EU725609.2;EU725614.2
MG272579.1,MG272581.1
EU660542.1,EU660543.1;EU660544.1
JX152968.1,JX153121.1;JX153545.1;JX153582.1
KJ185470.1,KJ185610.1
KF148086.1,KF148268.1;KF148298.1;KF148471.1
MG571159.1,MG571162.1
MF498720.1,MF498726.1
KX061451.1,KX061453.1
EU130551.1,JQ702505.1
JF824889.2,JF824982.2
KJ856731.1,KJ856798.1
KY670854.1,KY670857.1
MF056143.1,MF056515.1
KC252411.1,KC252419.1;KC252432.1;KC252457.1;KC252497.1
MF695924.1,MF695943.1
KF148228.1,KF148244.1
KJ154474.1,KJ154551.1;KJ154599.1
KF162922.1,KR139679.1
KU683090.1,KU683239.1
EF429133.1,EF429134.1;EF429135.1
FJ383297.1,FJ383298.1;FJ383299.1
KY408621.1,KY408755.1
KX457433.1,KX457448.1
KX456435.1,KX456436.1
JF824885.2,JF824978.2
GU810023.1,GU810030.1;GU810032.1;GU810033.1;GU810042.1;GU810047.1;GU810053.1
KF148119.1,KF148401.1;KF148405.1
GU392060.1,GU392061.1;GU392062.1
AY339511.2,AY339512.2
JX297131.1,JX297148.1;JX297174.1
KF056304.1,KF056310.1;KF056311.1;KF056312.1
JF824883.2,JF824976.2
KC345830.1,KC345932.1
EU935450.1,EU935453.1;EU935454.1
KJ185584.1,KJ185585.1
FJ467949.1,FJ467979.1
GU451313.1,JQ702673.1
KU683094.1,KU683267.1
HM596682.1,HM596692.1
JN857036.1,JN857037.1
JX155266.1,JX155267.1
MF057566.1,MF057572.1
JQ797928.1,JQ797929.1
KF874376.1,KF874377.1;KF874378.1
MF523204.1,MF523222.1
MF381290.1,MF381291.1
EU935456.1,EU935459.1
MF056079.1,MF056201.1
KY409642.1,KY410006.1
JX900599.1,JX900620.1
JX900394.1,JX900760.1
EF153776.1,EF153832.1
AP008652.1,AP008659.1;AP008812.1;AP010991.1;AP011042.1
JX152913.1,JX153980.1
KX456633.1,KX456638.1;KX456639.1
KJ445817.1,KJ445818.1
JN559854.1,JQ705270.1
MG272958.1,MG272966.1;MG272970.1
KC345838.1,KC345839.1;KC345840.1;KC345957.1;KC346071.1
GU810031.1,GU810040.1
EU443450.1,FJ383255.1
MF057834.1,MF057853.1;MF057935.1;MF058061.1;MF058318.1;MF058366.1;MF058367.1;MF058399.1;MF058400.1;MF695890.1
KF540530.1,KF540766.1;KF540884.1
KY408847.1,KY409088.1;KY409555.1;KY409824.1;KY409914.1;KY410155.1
JF833039.1,JQ705432.1
FJ380211.1,FJ383743.1
KX456940.1,KX457030.1
KT749793.1,KT749795.1
KF055866.1,KF055876.1;KF055877.1;KF055881.1;KF055883.1;KF055887.1
KY645617.1,KY645620.1;KY645638.1;KY645639.1;KY645642.1;KY645652.1
KT725872.1,KT725874.1;KT725886.1;KT725904.1;KT725958.1
JX669404.1,JX669418.1
MF056132.1,MF056134.1
KP240755.1,KP240758.1
KY680893.1,KY680895.1
KC733274.1,KC733275.1;KC733276.1
FJ951456.1,FJ951550.1
KF540685.1,KF540688.1
KY408936.1,KY408990.1;KY409145.1;KY410025.1;KY410224.1
KC993934.1,KC993950.1;KC993952.1
JX152813.1,KF162606.1;KF162827.1
MF057153.1,MF057158.1;MF057160.1
KY680869.1,KY680871.1
KU686526.1,KU686669.1
KM051468.1,KM051470.1;KM051473.1
JX900435.1,JX900515.1
KJ446603.1,KJ446604.1;KJ446605.1
HQ651682.1,HQ651687.1
KY408930.1,KY409430.1;KY409564.1;KY409850.1
MF381538.1,MF381542.1;MF381544.1;MF381547.1;MF381556.1;MF381557.1;MF381560.1;MF381563.1;MF381565.1;MF381570.1;MF381575.1
KP172398.1,KP172399.1
EF429139.1,EF429140.1;EF429141.1
MF058148.1,MF058172.1
KY421199.1,KY646098.1
JX153079.1,JX153627.1
MF523095.1,MF523098.1
MG244206.1,MG244213.1;MG244218.1
KF148181.1,KF148389.1
JX900832.1,JX900833.1;JX900851.1
KU686639.1,KU686643.1
GU004258.1,JQ657730.1
KJ154797.1,KJ154800.1;KJ154804.1;KJ154825.1
MF381403.1,MF381404.1;MF381473.1;MF381489.1;MF381515.1;MF381520.1;MF381527.1;MF381528.1
MF056389.1,MF056396.1
KY409251.1,KY409952.1
EU256375.1,JQ702813.1;JQ702830.1
KF161353.1,KF161683.1
JX153851.1,JX171103.1
KU683012.1,KU683182.1
KY408942.1,KY409055.1;KY409285.1
MF056527.1,MF056528.1
MF056164.1,MF056170.1;MF056171.1;MF057117.1
JX153529.1,KF162666.1
KF874368.1,KF874369.1
KY409433.1,KY409778.1
KJ185843.1,KJ185844.1
MF057836.1,MF057942.1;MF058403.1
KF540819.1,KF540827.1;KF540844.1
MG273125.1,MG273133.1
KU683197.1,KU683225.1;KU683430.1
JX128043.1,JX152866.1;JX152949.1
KY645701.1,KY645734.1
MG244203.1,MG244214.1;MG244223.1
KJ154619.1,KJ154630.1
KF540817.1,KF540822.1
KC345907.1,KC345936.1;KC346137.1;KC346142.1;KC346185.1;KC346188.1;KC346212.1
EU445683.2,EU445686.2;EU445687.2;EU445689.2;EU445690.2;EU445691.2
KY408934.1,KY409004.1;KY409995.1
KJ154685.1,KJ154783.1
KX467309.1,KX467310.1
GU392078.1,GU392079.1;GU392080.1
KY409478.1,KY409607.1;KY410036.1;KY410147.1
KX456632.1,KX456637.1
KJ185616.1,KJ185943.1
KJ446183.1,KJ446184.1
JX303746.1,JX303812.1
JF824818.2,JF824911.2
KJ446098.1,KJ446099.1
JX900585.1,JX900591.1
AY922281.1,AY922282.1
KF162190.1,KJ801409.1
MF056106.1,MF056107.1
MF055900.1,MF057320.1;MF057380.1;MF057413.1;MF057446.1;MF058309.1;MF058505.1
KC505117.1,KC887456.1;KC887458.1;KC887459.1
MF055976.1,MF055982.1;MF056046.1;MF056052.1;MF056053.1;MF056082.1;MF056147.1;MF056211.1;MF056265.1;MF056267.1;MF056271.1;MF056273.1;MF056311.1;MF056315.1;MF056327.1;MF056372.1;MF056379.1;MF056413.1;MF056580.1;MF056649.1;MF056667.1;MF056873.1;MF056921.1;MF056928.1;MF056989.1;MF056992.1;MF056996.1;MF057003.1;MF057094.1;MF057095.1;MF057102.1;MF057136.1;MF057144.1;MF057152.1;MF057194.1
KF451180.1,KF451344.1
EU092847.1,EU092875.1;MF381311.1;MF381315.1;MF381328.1;MF381332.1;MF381334.1;MF381356.1;MF381435.1;MF381436.1;MF381440.1;MF381451.1
JF824862.2,JF824955.2
JX152819.1,KF162756.1;KF162919.1
KX457313.1,KX457421.1;KX457422.1;KX457426.1
KF540805.1,KF540824.1
JQ245781.1,JQ245782.1;JQ245783.1;JQ245786.1
AP008398.1,AP008399.1
KJ185793.1,KJ185854.1
KX457528.1,KX457532.1;KX457537.1;KX457540.1;KX457551.1;KX457557.1
KJ154697.1,KJ154791.1;KJ154794.1
KX457378.1,KX457392.1
KU534963.1,KU534964.1
KF148486.1,KF148507.1;KF148508.1
JQ965986.1,JQ965987.1
KJ185477.1,KJ185478.1
KJ185816.1,KJ185817.1
MF523104.1,MF523115.1
MF057768.1,MF057774.1
KY645654.1,KY645662.1;KY645667.1
MG272972.1,MG272981.1;MG272983.1
KF451612.1,KF451616.1
JN620369.1,MF948152.1;MG952847.1;MG952863.1
KJ185475.1,KJ185492.1;KJ185623.1;KJ185701.1;KJ186000.1
KF163030.1,KY797260.2
KY409300.1,KY409342.1;KY409393.1
MF055829.1,MF055905.1;MF057496.1;MF057861.1
JF717359.1,JF717360.1
KU682876.1,KU682992.1;KU683066.1
KF162466.1,KF162992.1
MG272788.1,MG272829.1;MG272832.1
KJ801428.1,KJ801430.1
KX675272.1,KX675295.1
AY950286.1,AY950288.1
KY782185.1,KY782234.1
JX900339.1,JX900663.1
MF055747.1,MF055750.1;MF055753.1
KF540612.1,KF541016.1
KC252344.1,KC252509.1
KF540762.1,KF540772.1
AY495132.1,KF162110.1
KY409021.1,KY409898.1;KY410041.1
MF522853.1,MF523131.1
FJ157841.1,FJ157844.1;FJ157845.1
JQ324862.1,JQ324915.1
KP136794.1,KP263058.1;KP407173.1
KJ446078.1,KJ446079.1
KC252346.1,KC252361.1;KC252476.1
JQ705620.1,JQ705646.1
KF451208.1,KF451251.1
KJ446580.1,KJ446581.1
FJ383306.1,FJ383307.1
HQ700847.1,HQ700851.1
KC994030.1,KC994056.1;KC994118.1
MF695921.1,MF695927.1
JF824876.2,JF824969.2
JX900329.1,JX900357.1;JX900367.1;JX900369.1;JX900662.1;JX900671.1;JX900688.1
AP012374.1,AP012376.1;AP012378.1;AP012386.1;AP012387.1;AP012389.1;AP012390.1
JQ702213.1,JQ702700.1;KJ446000.1
KM101830.1,KM101943.1
KC252362.1,KC252418.1
JQ702629.1,JQ703533.1
JQ798064.1,JQ798065.1
JX152787.1,JX153951.1
FJ383607.1,FJ383608.1;FJ383609.1;FJ383613.1;FJ383617.1
KC911422.1,KC911575.1
KP240664.1,KP240674.1
KY825026.1,KY825083.1
KJ154162.1,KJ154455.1;KJ154459.1
KU686547.1,KU686575.1
MF056535.1,MF056588.1;MF056731.1
FJ383770.1,FJ383772.1
KC622094.1,KC622139.1;KC622210.1
KX457315.1,KX457317.1;KX457328.1
MF056533.1,MF056566.1
KT725868.1,KT725926.1
MF523112.1,MF523130.1;MF523211.1
MF695939.1,MF695941.1
KJ856703.1,KJ856787.1
KC622092.1,KC622140.1
KJ446437.1,KJ446438.1
KY409358.1,KY410138.1
AP012420.1,AP012427.1;AP012428.1;AP012429.1;AP012431.1
KM986563.1,KM986569.1
KX457260.1,KX457273.1
AP008888.1,AP010676.1;KJ446650.1
KF451368.1,KF451371.1
MF498671.1,MF498674.1;MF498733.1
KX456509.1,KX456523.1;KX456532.1;KX456538.1;KX456571.1;KX456574.1;KX456591.1
KJ154166.1,KJ154270.1;KJ154302.1;KJ154329.1;KJ154339.1;KJ154448.1;KJ154922.1;KJ154924.1;KJ154926.1;KJ154943.1
EU482344.1,KF874331.1
HQ873503.1,HQ873510.1
KP172323.1,KP172332.1;KP172337.1
KJ185555.1,KJ185966.1;KJ185977.1
AP012346.1,AP012350.1;AP012351.1;AP012367.1
KX440195.1,KX440196.1
KJ154539.1,KJ154613.1;KJ154650.1
JX152791.1,JX152885.1
KJ185559.1,KJ185560.1
GQ983083.1,GQ983085.1;GQ983086.1;GQ983094.1
KF451670.1,KF451673.1
MF056185.1,MF056754.1
FJ228404.1,GU722599.1;GU723693.1
KF148130.1,KF148258.1
JQ324521.1,JQ324643.1
AP008312.1,AP008869.1
JX987457.1,KC252569.1
KY409325.1,KY410032.1
KJ154839.1,KJ154842.1
KJ185539.1,KJ185601.1;KJ185604.1;KJ185605.1;KJ185983.1
EU443481.1,EU443485.1;FJ383249.1;FJ383250.1
JF824895.2,JF824988.2
KC994010.1,KC994125.1
KJ446445.1,KJ446446.1
MF056133.1,MF056613.1
KY409270.1,KY409459.1;KY409724.1
JF824901.2,JF824994.2
JQ324527.1,JQ324538.1;JQ324583.1
KY645686.1,KY645689.1;KY645695.1;KY645702.1
KU683020.1,KU683121.1;KU683413.1
KF540524.1,KF540549.1
AY339451.1,AY339453.1;AY339454.1
KU683326.1,KU683340.1
JX153780.1,JX153902.1;JX153925.1
MF055953.1,MF056935.1
KU683032.1,KU683111.1;KU683338.1;KU683422.1
JX900697.1,JX900702.1
KJ154410.1,KJ154464.1;KJ154946.1
KJ185547.1,KJ185979.1
MF056214.1,MF056238.1;MF056503.1;MF057098.1;MF057107.1
JX900691.1,JX900704.1
KP240656.1,KP240705.1
KU683030.1,KU683463.1
KY409241.1,KY409242.1
KX456596.1,KX456603.1
KU178922.1,KU178931.1
KF148343.1,KF148346.1
JQ324533.1,JQ324749.1;JQ324750.1
AY339524.1,AY339525.1
JQ324748.1,JQ324784.1;JQ324800.1;JQ324801.1;JQ324802.1;JQ324803.1
JX669274.1,JX669296.1
FJ383449.1,FJ383450.1;FJ383451.1;FJ383452.1;FJ383453.1;FJ383454.1
KC993980.1,KC994003.1;KC994060.1
JX152980.1,JX153587.1
KU683193.1,KU683521.1;KU683578.1
KJ446208.1,KJ446209.1
KY409243.1,KY409977.1
JQ797812.1,JQ797813.1
FJ383210.1,FJ383211.1;FJ383212.1;FJ383215.1;FJ383216.1
JX153342.1,KF162503.1
EU597486.1,KJ446028.1
KC345769.1,KC345770.1;KC345776.1
KY409221.1,KY409745.1;KY410080.1
KC257391.1,KC257401.1
KU683346.1,KU683526.1
JX669272.1,JX669295.1
KU683006.1,KU683065.1
KC345765.1,KC345766.1;KC345767.1;KC345772.1;KC345774.1;KC345783.1
EU597538.1,KJ446389.1
JX153733.1,JX153950.1
JX415317.1,JX535003.1
KY680911.1,KY680912.1;KY680913.1
KF451547.1,KF451548.1;KF451549.1;KF451550.1;KF451551.1;KF451552.1;KF451553.1;KF451554.1;KF451555.1;KF451556.1;KF451557.1;KF451558.1;KF451559.1;KF451561.1;KF451565.1;KF451567.1;KF451569.1;KF451570.1
AP008445.1,AP008573.1;AP008593.1;AP008615.1;AP011017.1
KU683312.1,KU683324.1;KU683345.1;KU683563.1
AP008646.1,AP011029.1
KF148357.1,KF148366.1
KU683187.1,KU683290.1
JF824878.2,JF824971.2
KU683004.1,KU683399.1
MF055870.1,MF055874.1;MF055889.1
JX152789.1,JX153324.1;JX153957.1;JX153982.1;JX154017.1;JX154052.1;JX154053.1;KF162623.1
KY409725.1,KY409767.1;KY409794.1;KY409974.1
KX456930.1,KX456981.1;KX457268.1
EF153809.1,EU482341.1
AY495277.1,AY495279.1;KY671007.1
JX152988.1,JX153232.1;JX153629.1
KJ446740.1,KJ446741.1
EF114276.1,EF114277.1
MF043476.1,MF043492.1
KF162225.1,KJ801445.1
MF055890.1,MF057443.1
JX669343.1,JX669373.1
EU597542.1,FJ951583.1;KJ446488.1
KX457237.1,KX457250.1
EF153807.1,EU007837.1;EU007840.1;EU482350.1;EU482353.1;EU725607.2;EU725610.2;EU725612.2;EU725613.2;EU725615.2;EU725617.2;EU725620.2;KF874347.1;KF874348.1;KF874352.1;KF874354.1
MF056598.1,MF056610.1
FJ383428.1,FJ383429.1
EF114270.1,EF114271.1;EF114272.1
KF540780.1,KF540854.1
KY409212.1,KY409531.1
KY408254.1,KY408323.1;KY408773.1
JX152799.1,JX153400.1
GU296586.1,HM130562.2
KX457453.1,KX457656.1
JX303763.1,JX303904.1
KY408460.1,KY408487.1;KY408738.1;KY408836.1
JQ704959.1,JQ705794.1
MF056150.1,MF056728.1;MF056991.1
KX456466.1,KX456484.1
KJ185688.1,KJ185692.1
FJ383794.1,FJ383798.1
KF451563.1,KF451566.1
MF057254.1,MF057255.1;MF057256.1;MF057261.1;MF057277.1;MF057396.1
MF381350.1,MF381522.1;MF381523.1
MF055792.1,MF055799.1
KX457239.1,KX457243.1;KX457254.1
AY195776.2,DQ304962.1
EU597568.1,EU597579.1;JQ703276.1;KJ446351.1;KJ446352.1
KX457122.1,KX457139.1
KF451318.1,KF577592.1
MF381406.1,MF381502.1;MF381503.1;MF381511.1;MF381530.1
KM101638.1,KM102147.1
KX456460.1,KX456652.1
KJ154478.1,KJ154579.1
MG646152.1,MG952864.1
KJ154290.1,KJ154423.1
KF148587.1,KF148589.1
MG273028.1,MG273032.1
JQ797969.1,JQ797970.1
KF450831.1,KY824895.1;KY824973.1
KF148355.1,KF148374.1
JX153389.1,JX153445.1
KF148492.1,KF148494.1;KF148499.1
JQ324646.1,JQ324884.1;JQ324904.1
JX153227.1,JX153238.1;JX153626.1
KF541024.1,KF541028.1;KF541037.1;KF541041.1
KJ185450.1,KJ185573.1;KJ185581.1;KJ185672.1;KJ185890.1;KJ185921.1
JQ705030.1,KC257285.1
KY645938.1,KY645940.1
KX456470.1,KX456483.1
JX900844.1,JX900852.1;JX900853.1
JX153221.1,JX153243.1
KF541026.1,KF541027.1
MF056576.1,MF056577.1
JQ706030.1,KM103658.1
MG272979.1,MG272986.1
KF541020.1,KF541032.1;KF541042.1;KF541047.1
KX358491.1,KX358496.1
MG272913.1,MG273024.1
KY408879.1,KY408915.1;KY409012.1;KY409040.1;KY409083.1;KY409084.1;KY409100.1;KY409194.1;KY409209.1;KY409219.1;KY410056.1
FJ384435.1,FJ384436.1
EU660539.1,EU660540.1;EU660541.1
JQ704568.1,JX982769.1
KU683205.1,KU683361.1
DQ304954.1,KM102090.1
AP008495.1,AP008623.1
MF498713.1,MF498714.1
AY495261.1,AY495263.1
MF055758.1,MF055882.1;MF055892.1;MF055911.1;MF056483.1;MF057109.1;MF057293.1;MF057308.1;MF057333.1;MF057334.1
KY499950.1,KY606241.1
KT213773.1,KT213803.1
KF450956.1,KF450969.1;KF450981.1;KF450985.1
JQ324672.1,JQ324768.1
KU683285.1,KU683406.1;KU683418.1
KC622079.1,KC622128.1;KC622130.1;KC622135.1;KC622156.1;KC622165.1;KC622166.1;KC622167.1;KC622168.1;KC622224.1;MF696016.1;MF696046.1
JQ324870.1,JQ324911.1
KP172369.1,KP172416.1
KF450987.1,KF450998.1
HM625690.1,KC286598.1
JN857017.1,JN857041.1
MF381546.1,MF381549.1;MF381551.1;MF381553.1;MF381558.1;MF381568.1;MF381573.1;MF381574.1
KY408268.1,KY408283.1;KY408287.1;KY408319.1;KY408325.1;KY408343.1;KY408358.1;KY408495.1;KY408519.1;KY408520.1;KY408524.1;KY408530.1;KY408531.1;KY408647.1;KY408685.1;KY408712.1;KY408724.1
FJ383544.1,FJ383548.1
KX061446.1,KX061447.1;KX061448.1;KX061449.1
DQ304908.1,DQ304910.1
KU682941.1,KU682996.1
KT726076.1,KT726079.1;KT726107.1;KT726121.1
JX154008.1,KF162815.1
KY408898.1,KY408957.1;KY409009.1;KY409492.1;KY410040.1
KF451102.1,KF451117.1
MF058202.1,MF058408.1
KF148263.1,KF148297.1;KF148414.1;KF148551.1;KF148553.1
MF362770.1,MF362774.1;MF362794.1
KT726070.1,KT726088.1
JX153225.1,JX153572.1;KF162728.1
KX456822.1,KX456833.1;KX456835.1;KX456840.1;KX456843.1
KY408987.1,KY409800.1
KX456449.1,KX456511.1
KJ154521.1,KJ154524.1
KY782150.1,KY782213.1
MF696047.1,MF696056.1;MF696092.1
EU130681.1,GQ129169.1
MF057204.1,MF057205.1;MF057206.1
KY782156.1,MF278020.1
JQ324589.1,KJ446302.1
AY495168.1,KF161208.1;KF161437.1;KF161630.1;KF161912.1
KF161661.1,KF162100.1
